,Image Name,Study Area,Site Name,Time Stamp,Certainty Levels,Identification
0,IMG_0001.JPG,WISOC,TH616_B,2016:07:17 11:26:05,"Bighorn: 0.23740805685520172,  Other Wildlife: 0.00033150703529827297, Nothing: 0.7622604966163635",Nothing
1,IMG_0028.JPG,WISOC,TH616_B,2016:07:17 11:58:42,"Bighorn: 0.12012066692113876,  Other Wildlife: 0.26214319467544556, Nothing: 0.6177361607551575",Nothing
2,IMG_0029.JPG,WISOC,TH616_B,2016:07:17 11:58:43,"Bighorn: 0.06506078690290451,  Other Wildlife: 0.24979449808597565, Nothing: 0.6851446032524109",Nothing
3,IMG_0035.JPG,WISOC,TH616_B,2016:07:17 15:03:40,"Bighorn: 0.8175439834594727,  Other Wildlife: 0.12568414211273193, Nothing: 0.05677177757024765",Bighorn Sheep
4,IMG_0036.JPG,WISOC,TH616_B,2016:07:17 18:22:10,"Bighorn: 0.5272051095962524,  Other Wildlife: 0.14759400486946106, Nothing: 0.3252008855342865",Bighorn Sheep
5,IMG_0037.JPG,WISOC,TH616_B,2016:07:17 18:22:11,"Bighorn: 0.39481890201568604,  Other Wildlife: 0.1339120864868164, Nothing: 0.4712689518928528",Nothing
6,IMG_0038.JPG,WISOC,TH616_B,2016:07:17 18:22:11,"Bighorn: 0.4109603464603424,  Other Wildlife: 0.3403324782848358, Nothing: 0.24870724976062775",Bighorn Sheep
7,IMG_0039.JPG,WISOC,TH616_B,2016:07:17 18:22:12,"Bighorn: 0.30059483647346497,  Other Wildlife: 0.5257370471954346, Nothing: 0.17366810142993927",Other Wildlife
8,IMG_0205.JPG,WISOC,TH616_B,2022:05:27 12:21:26,"Bighorn: 0.2712577283382416,  Other Wildlife: 0.15144839882850647, Nothing: 0.5772938132286072",Nothing
9,IMG_0356.JPG,WISOC,TH616_B,2016:07:17 12:07:19,"Bighorn: 0.21584118902683258,  Other Wildlife: 0.02524329535663128, Nothing: 0.7589154839515686",Nothing
10,IMG_0357.JPG,WISOC,TH616_B,2016:07:17 12:07:22,"Bighorn: 0.08329030871391296,  Other Wildlife: 0.010701238177716732, Nothing: 0.9060085415840149",Nothing
11,IMG_0358.JPG,WISOC,TH616_B,2016:07:17 12:07:23,"Bighorn: 0.019468968734145164,  Other Wildlife: 0.0036583200562745333, Nothing: 0.9768726825714111",Nothing
12,IMG_0359.JPG,WISOC,TH616_B,2016:07:17 12:07:25,"Bighorn: 0.025913139805197716,  Other Wildlife: 0.002558099804446101, Nothing: 0.9715287685394287",Nothing
13,IMG_0360.JPG,WISOC,TH616_B,2016:07:17 12:07:27,"Bighorn: 0.04178113117814064,  Other Wildlife: 0.00027052490622736514, Nothing: 0.9579483270645142",Nothing
14,IMG_0361.JPG,WISOC,TH616_B,2016:07:17 12:13:54,"Bighorn: 0.0050290594808757305,  Other Wildlife: 0.0009599336772225797, Nothing: 0.9940109848976135",Nothing
15,IMG_0362.JPG,WISOC,TH616_B,2016:07:17 12:13:57,"Bighorn: 0.01572248339653015,  Other Wildlife: 0.0004951003938913345, Nothing: 0.9837823510169983",Nothing
16,RCNX0616.JPG,WISOC,TH616_B,2020:12:17 11:13:42,"Bighorn: 0.9332481026649475,  Other Wildlife: 0.004407454282045364, Nothing: 0.06234438717365265",Bighorn Sheep
17,RCNX0617.JPG,WISOC,TH616_B,2020:12:17 11:13:42,"Bighorn: 0.8744122385978699,  Other Wildlife: 0.002235557185485959, Nothing: 0.12335219234228134",Bighorn Sheep
18,RCNX0618.JPG,WISOC,TH616_B,2020:12:17 11:13:43,"Bighorn: 0.805132269859314,  Other Wildlife: 0.0033269112464040518, Nothing: 0.19154082238674164",Bighorn Sheep
19,RCNX0619.JPG,WISOC,TH616_B,2020:12:17 11:13:44,"Bighorn: 0.7480077147483826,  Other Wildlife: 0.0040212152525782585, Nothing: 0.2479710876941681",Bighorn Sheep
